file index:72, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:9.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:73, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:9.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:74, before 2048:0.984, after 2048:0.984, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:8.7500 min,         Acc:0.984, Precision:0.980, Recall:1.000, F1:0.990,[TP:48, FP:1, TN:15, FN:0]
file index:75, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2500 min, ETA:8.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:76, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2500 min, ETA:8.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:77, before 2048:0.828, after 2048:0.828, before 256:0.947, after 256:0.962, cost:0.2500 min, ETA:8.0000 min,         Acc:0.828, Precision:0.694, Recall:1.000, F1:0.820,[TP:25, FP:11, TN:28, FN:0]
file index:78, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2500 min, ETA:7.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:79, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:7.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:80, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:7.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:81, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:7.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:82, before 2048:0.984, after 2048:0.984, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:6.7500 min,         Acc:0.984, Precision:1.000, Recall:0.982, F1:0.991,[TP:55, FP:0, TN:8, FN:1]
file index:83, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:6.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:84, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:6.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:85, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:6.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:86, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:5.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:87, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2500 min, ETA:5.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:88, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:5.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:89, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2500 min, ETA:5.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:90, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.2500 min, ETA:4.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:91, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.2500 min, ETA:4.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:92, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2500 min, ETA:4.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:93, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2500 min, ETA:4.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:94, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:3.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:95, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:3.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:96, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2500 min, ETA:3.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:97, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2500 min, ETA:3.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:98, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.2500 min, ETA:2.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:99, before 2048:0.812, after 2048:0.812, before 256:0.941, after 256:0.956, cost:0.2333 min, ETA:2.3333 min,         Acc:0.812, Precision:0.800, Recall:1.000, F1:0.889,[TP:48, FP:12, TN:4, FN:0]
file index:100, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2500 min, ETA:2.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:101, before 2048:1.000, after 2048:1.000, before 256:0.979, after 256:0.995, cost:0.2500 min, ETA:2.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:102, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.995, cost:0.2500 min, ETA:1.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:103, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.2500 min, ETA:1.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:104, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.2500 min, ETA:1.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:105, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.2500 min, ETA:1.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:106, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2500 min, ETA:0.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:107, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2500 min, ETA:0.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:108, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2500 min, ETA:0.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:109, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.2500 min, ETA:0.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
AVG_Acc:0.985, AVG_Precision:0.981, AVG_Recall:0.999, AVG_F1:0.988
